site,site.code,year,date,doy,week,observer,obs.start,obs.end,tot.obs.length,weather,habitat,habitat.code,plant.species,abun.rank,notes
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,dry,d,Hydrophyllum.capitatum,2,rank estimated
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,dry,d,Mahonia.repens,7,rank estimated
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,dry,d,Mertensia.fusiformis,1,rank estimated
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,dry,d,Taraxacum.officinale,6,rank estimated
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,dry,d,Viola.praemorsa,5,rank estimated
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,wet,w,Claytonia.lanceolata,2,rank estimated
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,wet,w,Erythronium.grandiflorum,3,rank estimated
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,wet,w,Mertensia.fusiformis,1,rank estimated
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,wet,w,Ranunculus.inamoenus,5,rank estimated
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,wet,w,Valeriana.occidentalis,6,rank estimated
Copper.Creek,CC,2015,1-Jun-15,152,3,JEO,3:35:00 pm,4:35:00 pm,60,clear.warm,wet,w,Viola.praemorsa,4,rank estimated
Frogs.Pond,FP,2015,27-May-15,147,3,JEO,4:23:00 pm,5:23:00 pm,60,mostlycloudy.warm,aspen,a,Mertensia.fusiformis,1,rank estimated
Frogs.Pond,FP,2015,27-May-15,147,3,JEO,4:23:00 pm,5:23:00 pm,60,mostlycloudy.warm,aspen,a,Senecio.integerrimus,3,rank estimated
Frogs.Pond,FP,2015,27-May-15,147,3,JEO,4:23:00 pm,5:23:00 pm,60,mostlycloudy.warm,aspen,a,Taraxacum.officinale,2,rank estimated
Frogs.Pond,FP,2015,27-May-15,147,3,JEO,4:23:00 pm,5:23:00 pm,60,mostlycloudy.warm,aspen,a,Claytonia.lanceolata,2,rank estimated
Frogs.Pond,FP,2015,27-May-15,147,3,JEO,4:23:00 pm,5:23:00 pm,60,mostlycloudy.warm,aspen,a,Viola.praemorsa,2,rank estimated
Frogs.Pond,FP,2015,27-May-15,147,3,JEO,4:23:00 pm,5:23:00 pm,60,mostlycloudy.warm,dry,d,Androsace.septentrionalis,3,rank estimated
Frogs.Pond,FP,2015,27-May-15,147,3,JEO,4:23:00 pm,5:23:00 pm,60,mostlycloudy.warm,dry,d,Mertensia.fusiformis,1,rank estimated
Frogs.Pond,FP,2015,27-May-15,147,3,JEO,4:23:00 pm,5:23:00 pm,60,mostlycloudy.warm,dry,d,Taraxacum.officinale,2,rank estimated
Frogs.Pond,FP,2015,27-May-15,147,3,JEO,4:23:00 pm,5:23:00 pm,60,mostlycloudy.warm,dry,d,Delphinium.nuttallianum,3,rank estimated
Frogs.Pond,FP,2015,27-May-15,147,3,JEO,4:23:00 pm,5:23:00 pm,60,mostlycloudy.warm,dry,d,Viola.adunca,3,rank estimated
Frogs.Pond,FP,2015,27-May-15,147,3,JEO,4:23:00 pm,5:23:00 pm,60,mostlycloudy.warm,dry,d,Viola.praemorsa,2,rank estimated
Frogs.Pond,FP,2015,27-May-15,147,3,JEO,4:23:00 pm,5:23:00 pm,60,mostlycloudy.warm,dry,d,Mahonia.repens,2,rank estimated
Frogs.Pond,FP,2015,27-May-15,147,3,JEO,4:23:00 pm,5:23:00 pm,60,mostlycloudy.warm,wet,w,Mertensia.fusiformis,1,rank estimated
Frogs.Pond,FP,2015,27-May-15,147,3,JEO,4:23:00 pm,5:23:00 pm,60,mostlycloudy.warm,wet,w,Taraxacum.officinale,2,rank estimated
Frogs.Pond,FP,2015,27-May-15,147,3,JEO,4:23:00 pm,5:23:00 pm,60,mostlycloudy.warm,wet,w,Viola.praemorsa,2,rank estimated
Frogs.Pond,FP,2015,31-May-15,151,3,JEO,11:40:00 am,12:40:00 pm,60,partlycloudy.warm,aspen,a,Mertensia.fusiformis,1,rank estimated
Frogs.Pond,FP,2015,31-May-15,151,3,JEO,11:40:00 am,12:40:00 pm,60,partlycloudy.warm,aspen,a,Pseudocymopterus.montanus,3,rank estimated
Frogs.Pond,FP,2015,31-May-15,151,3,JEO,11:40:00 am,12:40:00 pm,60,partlycloudy.warm,aspen,a,Senecio.integerrimus,3,rank estimated
Frogs.Pond,FP,2015,31-May-15,151,3,JEO,11:40:00 am,12:40:00 pm,60,partlycloudy.warm,aspen,a,Taraxacum.officinale,3,rank estimated
Frogs.Pond,FP,2015,31-May-15,151,3,JEO,11:40:00 am,12:40:00 pm,60,partlycloudy.warm,aspen,a,Viola.praemorsa,2,rank estimated
Frogs.Pond,FP,2015,31-May-15,151,3,JEO,11:40:00 am,12:40:00 pm,60,partlycloudy.warm,dry,d,Androsace.septentrionalis,3,rank estimated
Frogs.Pond,FP,2015,31-May-15,151,3,JEO,11:40:00 am,12:40:00 pm,60,partlycloudy.warm,dry,d,Delphinium.nuttallianum,3,rank estimated
Frogs.Pond,FP,2015,31-May-15,151,3,JEO,11:40:00 am,12:40:00 pm,60,partlycloudy.warm,dry,d,Mertensia.fusiformis,1,rank estimated
Frogs.Pond,FP,2015,31-May-15,151,3,JEO,11:40:00 am,12:40:00 pm,60,partlycloudy.warm,dry,d,Taraxacum.officinale,2,rank estimated
Frogs.Pond,FP,2015,31-May-15,151,3,JEO,11:40:00 am,12:40:00 pm,60,partlycloudy.warm,dry,d,Viola.adunca,3,rank estimated
Frogs.Pond,FP,2015,31-May-15,151,3,JEO,11:40:00 am,12:40:00 pm,60,partlycloudy.warm,dry,d,Viola.praemorsa,2,rank estimated
Frogs.Pond,FP,2015,31-May-15,151,3,JEO,11:40:00 am,12:40:00 pm,60,partlycloudy.warm,dry,d,Mahonia.repens,2,rank estimated
Frogs.Pond,FP,2015,31-May-15,151,3,JEO,11:40:00 am,12:40:00 pm,60,partlycloudy.warm,wet,w,Androsace.septentrionalis,3,rank estimated
Frogs.Pond,FP,2015,31-May-15,151,3,JEO,11:40:00 am,12:40:00 pm,60,partlycloudy.warm,wet,w,Mertensia.fusiformis,1,rank estimated
Frogs.Pond,FP,2015,31-May-15,151,3,JEO,11:40:00 am,12:40:00 pm,60,partlycloudy.warm,wet,w,Taraxacum.officinale,2,rank estimated
Frogs.Pond,FP,2015,31-May-15,151,3,JEO,11:40:00 am,12:40:00 pm,60,partlycloudy.warm,wet,w,Valeriana.occidentalis,2,rank estimated
Frogs.Pond,FP,2015,31-May-15,151,3,JEO,11:40:00 am,12:40:00 pm,60,partlycloudy.warm,wet,w,Viola.praemorsa,2,rank estimated
Gothic.Spires,GS,2015,29-May-15,149,3,JEO,2:35:00 pm,3:35:00 pm,60,cloudy.mild,aspen,a,Androsace.septentrionalis,3,rank estimated
Gothic.Spires,GS,2015,29-May-15,149,3,JEO,2:35:00 pm,3:35:00 pm,60,cloudy.mild,aspen,a,Claytonia.lanceolata,1,rank estimated
Gothic.Spires,GS,2015,29-May-15,149,3,JEO,2:35:00 pm,3:35:00 pm,60,cloudy.mild,aspen,a,Delphinium.nuttallianum,3,rank estimated
Gothic.Spires,GS,2015,29-May-15,149,3,JEO,2:35:00 pm,3:35:00 pm,60,cloudy.mild,aspen,a,Erythronium.grandiflorum,2,rank estimated
Gothic.Spires,GS,2015,29-May-15,149,3,JEO,2:35:00 pm,3:35:00 pm,60,cloudy.mild,aspen,a,Mertensia.fusiformis,2,rank estimated
Gothic.Spires,GS,2015,29-May-15,149,3,JEO,2:35:00 pm,3:35:00 pm,60,cloudy.mild,aspen,a,Taraxacum.officinale,3,rank estimated
Gothic.Spires,GS,2015,29-May-15,149,3,JEO,2:35:00 pm,3:35:00 pm,60,cloudy.mild,dry,d,Androsace.septentrionalis,3,rank estimated
Gothic.Spires,GS,2015,29-May-15,149,3,JEO,2:35:00 pm,3:35:00 pm,60,cloudy.mild,dry,d,Claytonia.lanceolata,1,rank estimated
Gothic.Spires,GS,2015,29-May-15,149,3,JEO,2:35:00 pm,3:35:00 pm,60,cloudy.mild,dry,d,Erythronium.grandiflorum,2,rank estimated
Gothic.Spires,GS,2015,29-May-15,149,3,JEO,2:35:00 pm,3:35:00 pm,60,cloudy.mild,dry,d,Mertensia.fusiformis,2,rank estimated
Gothic.Spires,GS,2015,29-May-15,149,3,JEO,2:35:00 pm,3:35:00 pm,60,cloudy.mild,dry,d,Taraxacum.officinale,3,rank estimated
Gothic.Spires,GS,2015,29-May-15,149,3,JEO,2:35:00 pm,3:35:00 pm,60,cloudy.mild,wet,w,Claytonia.lanceolata,1,rank estimated
Gothic.Spires,GS,2015,29-May-15,149,3,JEO,2:35:00 pm,3:35:00 pm,60,cloudy.mild,wet,w,Erythronium.grandiflorum,3,rank estimated
Gothic.Spires,GS,2015,29-May-15,149,3,JEO,2:35:00 pm,3:35:00 pm,60,cloudy.mild,wet,w,Mertensia.fusiformis,2,rank estimated
Gothic.Spires,GS,2015,29-May-15,149,3,JEO,2:35:00 pm,3:35:00 pm,60,cloudy.mild,wet,w,Noccaea.fendleri,3,rank estimated
Gothic.Spires,GS,2015,29-May-15,149,3,JEO,2:35:00 pm,3:35:00 pm,60,cloudy.mild,wet,w,Taraxacum.officinale,3,rank estimated
Rosy.Hills,RH,2015,28-May-15,148,3,JEO,3:05:00 pm,4:05:00 pm,60,mostlycloudy.warm,aspen,a,Claytonia.lanceolata,1,rank estimated
Rosy.Hills,RH,2015,28-May-15,148,3,JEO,3:05:00 pm,4:05:00 pm,60,mostlycloudy.warm,aspen,a,Erythronium.grandiflorum,3,rank estimated
Rosy.Hills,RH,2015,28-May-15,148,3,JEO,3:05:00 pm,4:05:00 pm,60,mostlycloudy.warm,aspen,a,Mertensia.fusiformis,2,rank estimated
Rosy.Hills,RH,2015,28-May-15,148,3,JEO,3:05:00 pm,4:05:00 pm,60,mostlycloudy.warm,aspen,a,Ranunculus.cymbalaria,2,rank estimated
Rosy.Hills,RH,2015,28-May-15,148,3,JEO,3:05:00 pm,4:05:00 pm,60,mostlycloudy.warm,aspen,a,Noccaea.fendleri,3,rank estimated
Rosy.Hills,RH,2015,28-May-15,148,3,JEO,3:05:00 pm,4:05:00 pm,60,mostlycloudy.warm,dry,d,Androsace.septentrionalis,3,rank estimated
Rosy.Hills,RH,2015,28-May-15,148,3,JEO,3:05:00 pm,4:05:00 pm,60,mostlycloudy.warm,dry,d,Claytonia.lanceolata,1,rank estimated
Rosy.Hills,RH,2015,28-May-15,148,3,JEO,3:05:00 pm,4:05:00 pm,60,mostlycloudy.warm,dry,d,Mertensia.fusiformis,2,rank estimated
Rosy.Hills,RH,2015,28-May-15,148,3,JEO,3:05:00 pm,4:05:00 pm,60,mostlycloudy.warm,dry,d,Taraxacum.officinale,2,rank estimated
Rosy.Hills,RH,2015,28-May-15,148,3,JEO,3:05:00 pm,4:05:00 pm,60,mostlycloudy.warm,dry,d,Viola.praemorsa,2,rank estimated
Rosy.Hills,RH,2015,28-May-15,148,3,JEO,3:05:00 pm,4:05:00 pm,60,mostlycloudy.warm,wet,w,Claytonia.lanceolata,1,rank estimated
Rosy.Hills,RH,2015,28-May-15,148,3,JEO,3:05:00 pm,4:05:00 pm,60,mostlycloudy.warm,wet,w,Erythronium.grandiflorum,4,rank estimated
Rosy.Hills,RH,2015,28-May-15,148,3,JEO,3:05:00 pm,4:05:00 pm,60,mostlycloudy.warm,wet,w,Ranunculus.cymbalaria,4,rank estimated
Rosy.Hills,RH,2015,28-May-15,148,3,JEO,3:05:00 pm,4:05:00 pm,60,mostlycloudy.warm,wet,w,Mertensia.fusiformis,2,rank estimated
Rosy.Hills,RH,2015,28-May-15,148,3,JEO,3:05:00 pm,4:05:00 pm,60,mostlycloudy.warm,wet,w,Noccaea.fendleri,3,rank estimated
Rosy.Hills,RH,2015,28-May-15,148,3,JEO,3:05:00 pm,4:05:00 pm,60,mostlycloudy.warm,wet,w,Valeriana.occidentalis,4,rank estimated
Rosy.Hills,RH,2015,31-May-15,151,3,JEO,10:15:00 am,11:15:00 am,60,mostlyclear.warm,aspen,a,Claytonia.lanceolata,1,rank estimated
Rosy.Hills,RH,2015,31-May-15,151,3,JEO,10:15:00 am,11:15:00 am,60,mostlyclear.warm,aspen,a,Erythronium.grandiflorum,3,rank estimated
Rosy.Hills,RH,2015,31-May-15,151,3,JEO,10:15:00 am,11:15:00 am,60,mostlyclear.warm,aspen,a,Ranunculus.cymbalaria,2,rank estimated
Rosy.Hills,RH,2015,31-May-15,151,3,JEO,10:15:00 am,11:15:00 am,60,mostlyclear.warm,aspen,a,Mertensia.fusiformis,2,rank estimated
Rosy.Hills,RH,2015,31-May-15,151,3,JEO,10:15:00 am,11:15:00 am,60,mostlyclear.warm,aspen,a,Noccaea.fendleri,2,rank estimated
Rosy.Hills,RH,2015,31-May-15,151,3,JEO,10:15:00 am,11:15:00 am,60,mostlyclear.warm,dry,d,Androsace.septentrionalis,3,rank estimated
Rosy.Hills,RH,2015,31-May-15,151,3,JEO,10:15:00 am,11:15:00 am,60,mostlyclear.warm,dry,d,Claytonia.lanceolata,1,rank estimated
Rosy.Hills,RH,2015,31-May-15,151,3,JEO,10:15:00 am,11:15:00 am,60,mostlyclear.warm,dry,d,Delphinium.nuttallianum,3,rank estimated
Rosy.Hills,RH,2015,31-May-15,151,3,JEO,10:15:00 am,11:15:00 am,60,mostlyclear.warm,dry,d,Mertensia.fusiformis,2,rank estimated
Rosy.Hills,RH,2015,31-May-15,151,3,JEO,10:15:00 am,11:15:00 am,60,mostlyclear.warm,dry,d,Viola.praemorsa,2,rank estimated
Rosy.Hills,RH,2015,31-May-15,151,3,JEO,10:15:00 am,11:15:00 am,60,mostlyclear.warm,wet,w,Claytonia.lanceolata,1,rank estimated
Rosy.Hills,RH,2015,31-May-15,151,3,JEO,10:15:00 am,11:15:00 am,60,mostlyclear.warm,wet,w,Delphinium.nuttallianum,4,rank estimated
Rosy.Hills,RH,2015,31-May-15,151,3,JEO,10:15:00 am,11:15:00 am,60,mostlyclear.warm,wet,w,Ranunculus.cymbalaria,3,rank estimated
Rosy.Hills,RH,2015,31-May-15,151,3,JEO,10:15:00 am,11:15:00 am,60,mostlyclear.warm,wet,w,Mertensia.fusiformis,2,rank estimated
Rosy.Hills,RH,2015,31-May-15,151,3,JEO,10:15:00 am,11:15:00 am,60,mostlyclear.warm,wet,w,Noccaea.fendleri,3,rank estimated
Rosy.Hills,RH,2015,31-May-15,151,3,JEO,10:15:00 am,11:15:00 am,60,mostlyclear.warm,wet,w,Taraxacum.officinale,4,rank estimated
Rosy.Hills,RH,2015,31-May-15,151,3,JEO,10:15:00 am,11:15:00 am,60,mostlyclear.warm,wet,w,Valeriana.occidentalis,4,rank estimated
Rosy.Hills,RH,2015,31-May-15,151,3,JEO,10:15:00 am,11:15:00 am,60,mostlyclear.warm,wet,w,Viola.praemorsa,4,rank estimated
Stormy.Pass,SP,2015,30-May-15,150,3,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,aspen,a,Androsace.septentrionalis,2,rank estimated
Stormy.Pass,SP,2015,30-May-15,150,3,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,aspen,a,Fragaria.virginiana,1,rank estimated
Stormy.Pass,SP,2015,30-May-15,150,3,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,aspen,a,Mertensia.fusiformis,2,rank estimated
Stormy.Pass,SP,2015,30-May-15,150,3,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,aspen,a,Ranunculus.inamoenus,1,rank estimated
Stormy.Pass,SP,2015,30-May-15,150,3,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,aspen,a,Taraxacum.officinale,1,rank estimated
Stormy.Pass,SP,2015,30-May-15,150,3,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,aspen,a,Viola.praemorsa,1,rank estimated
Stormy.Pass,SP,2015,30-May-15,150,3,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,dry,d,Androsace.septentrionalis,4,rank estimated
Stormy.Pass,SP,2015,30-May-15,150,3,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,dry,d,Delphinium.nuttallianum,2,rank estimated
Stormy.Pass,SP,2015,30-May-15,150,3,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,dry,d,Mertensia.fusiformis,1,rank estimated
Stormy.Pass,SP,2015,30-May-15,150,3,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,dry,d,Ranunculus.inamoenus,4,rank estimated
Stormy.Pass,SP,2015,30-May-15,150,3,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,dry,d,Taraxacum.officinale,3,rank estimated
Stormy.Pass,SP,2015,30-May-15,150,3,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,dry,d,Viola.praemorsa,3,rank estimated
Stormy.Pass,SP,2015,30-May-15,150,3,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,wet,w,Claytonia.lanceolata,2,rank estimated
Stormy.Pass,SP,2015,30-May-15,150,3,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,wet,w,Erythronium.grandiflorum,3,rank estimated
Stormy.Pass,SP,2015,30-May-15,150,3,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,wet,w,Mertensia.fusiformis,1,rank estimated
Stormy.Pass,SP,2015,30-May-15,150,3,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,wet,w,Noccaea.fendleri,2,rank estimated
Stormy.Pass,SP,2015,30-May-15,150,3,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,wet,w,Ranunculus.inamoenus,3,rank estimated
Stormy.Pass,SP,2015,30-May-15,150,3,JEO,2:20:00 pm,3:20:00 pm,60,clear.warm,wet,w,Viola.praemorsa,2,rank estimated
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,9:35:00 am,10:35:00 am,60,clear.warm,aspen,a,Androsace.septentrionalis,6,
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,9:35:00 am,10:35:00 am,60,clear.warm,aspen,a,Claytonia.lanceolata,2,
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,9:35:00 am,10:35:00 am,60,clear.warm,aspen,a,Erythronium.grandiflorum,5,
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,9:35:00 am,10:35:00 am,60,clear.warm,aspen,a,Mertensia.fusiformis,1,
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,9:35:00 am,10:35:00 am,60,clear.warm,aspen,a,Ranunculus.inamoenus,4,
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,9:35:00 am,10:35:00 am,60,clear.warm,aspen,a,Taraxacum.officinale,3,
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,9:35:00 am,10:35:00 am,60,clear.warm,aspen,a,Viola.praemorsa,4,
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,9:35:00 am,10:35:00 am,60,clear.warm,dry,d,Androsace.septentrionalis,6,
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,9:35:00 am,10:35:00 am,60,clear.warm,dry,d,Claytonia.lanceolata,3,
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,9:35:00 am,10:35:00 am,60,clear.warm,dry,d,Mertensia.fusiformis,1,
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,9:35:00 am,10:35:00 am,60,clear.warm,dry,d,Ranunculus.inamoenus,4,
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,9:35:00 am,10:35:00 am,60,clear.warm,dry,d,Taraxacum.officinale,5,
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,9:35:00 am,10:35:00 am,60,clear.warm,dry,d,Viola.praemorsa,2,
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,9:35:00 am,10:35:00 am,60,clear.warm,wet,w,Androsace.septentrionalis,7,
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,9:35:00 am,10:35:00 am,60,clear.warm,wet,w,Claytonia.lanceolata,1,
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,9:35:00 am,10:35:00 am,60,clear.warm,wet,w,Erythronium.grandiflorum,6,
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,9:35:00 am,10:35:00 am,60,clear.warm,wet,w,Mertensia.fusiformis,2,
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,9:35:00 am,10:35:00 am,60,clear.warm,wet,w,Ranunculus.inamoenus,5,
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,9:35:00 am,10:35:00 am,60,clear.warm,wet,w,Taraxacum.officinale,4,
Avery.Wash,AW,2015,2-Jun-15,153,4,JEO,9:35:00 am,10:35:00 am,60,clear.warm,wet,w,Viola.praemorsa,3,
Copper.Creek,CC,2015,3-Jun-15,154,4,JEO,2:13:00 pm,3:13:00 pm,60,clear.warm,aspen,a,Claytonia.lanceolata,1,rank estimated
Copper.Creek,CC,2015,3-Jun-15,154,4,JEO,2:13:00 pm,3:13:00 pm,60,clear.warm,aspen,a,Mertensia.fusiformis,2,rank estimated
Copper.Creek,CC,2015,3-Jun-15,154,4,JEO,2:13:00 pm,3:13:00 pm,60,clear.warm,dry,d,Claytonia.lanceolata,3,rank estimated
Copper.Creek,CC,2015,3-Jun-15,154,4,JEO,2:13:00 pm,3:13:00 pm,60,clear.warm,dry,d,Delphinium.nuttallianum,3,rank estimated
Copper.Creek,CC,2015,3-Jun-15,154,4,JEO,2:13:00 pm,3:13:00 pm,60,clear.warm,dry,d,Hydrophyllum.capitatum,2,rank estimated
Copper.Creek,CC,2015,3-Jun-15,154,4,JEO,2:13:00 pm,3:13:00 pm,60,clear.warm,dry,d,Mertensia.fusiformis,1,rank estimated
Copper.Creek,CC,2015,3-Jun-15,154,4,JEO,2:13:00 pm,3:13:00 pm,60,clear.warm,dry,d,Taraxacum.officinale,4,rank estimated
Copper.Creek,CC,2015,3-Jun-15,154,4,JEO,2:13:00 pm,3:13:00 pm,60,clear.warm,dry,d,Viola.praemorsa,4,rank estimated
Copper.Creek,CC,2015,3-Jun-15,154,4,JEO,2:13:00 pm,3:13:00 pm,60,clear.warm,wet,w,Claytonia.lanceolata,1,rank estimated
Copper.Creek,CC,2015,3-Jun-15,154,4,JEO,2:13:00 pm,3:13:00 pm,60,clear.warm,wet,w,Mertensia.fusiformis,2,rank estimated
Copper.Creek,CC,2015,4-Jun-15,155,4,JEO,2:27:00 pm,3:27:00 pm,60,clear.warm,aspen,a,Androsace.septentrionalis,2,
Copper.Creek,CC,2015,4-Jun-15,155,4,JEO,2:27:00 pm,3:27:00 pm,60,clear.warm,aspen,a,Claytonia.lanceolata,1,
